Country.Region,PSCR,Province.State,Date,Lat,Long,confirmed,recovered,deaths,population,Region,imputed,recovered_imputed,active,active_imputed,new_confirmed,new_active_rate,net_active,net_active_imputed,new_recovered,new_recovered_imputed,new_deaths,confirmed_p_M,active_p_M,active_imputed_p_M,recovered_p_M,recovered_imputed_p_M,deaths_p_M,new_confirmed_p_M,net_active_p_M,new_recovered_p_M,net_active_imputed_p_M,new_recovered_imputed_p_M,new_deaths_p_M,recovered_per_confirmed,recovered_imputed_per_confirmed,deaths_per_confirmed,recovered_per_deaths,recovered_imputed_per_deaths,doublingDays,confirmed_sim,recovered_sim,active_sim,deaths_sim,day_1,day_20,day_100,day_400,day_1000,day_2000,day_5000,day_10000,day_50000,day_1e+05,day_5e+05,day_1e+06
North America,North America,North America,2020-05-11,16.610405545454544,-74.5783499090909,1411367,266198,85202,541348571,North America,FALSE,266198,1059967,1059967,23857.4,2.25,10676.400000000001,10676.400000000001,11562.2,11562.2,1618.8000000000002,2607.1316626787584,1958.0120033234557,1958.0120033234557,491.7312324446867,491.7312324446867,157.38842691061615,44.07031121543314,19.721858654356737,21.358142644843152,19.721858654356737,21.358142644843152,2.9903099162332514,0.18861004968941458,0.18861004968941458,0.060368422954483136,3.124316330602568,3.124316330602568,2.439,539941903,265090,513348173,26328640,111,78,71,66,62,60,56,54,49,46,32,15
North America,North America,North America,2020-05-12,16.610405545454544,-74.5783499090909,1435433,268374,87253,541348571,North America,FALSE,268374,1079806,1079806,24256.200000000004,2.25,13895.000000000002,13895.000000000002,8693,8693,1668.2,2651.5873078752434,1994.6593707735121,1994.6593707735121,495.75082373312483,495.75082373312483,161.17711336860626,44.80698998649431,25.66738095259515,16.058045528672874,25.66738095259515,16.058045528672874,3.0815635052262844,0.1869637942000776,0.1869637942000776,0.06078514288023196,3.0758140121256576,3.0758140121256576,2.439,540402117,351802,513485997,26564318,112,79,72,67,63,61,57,55,50,47,33,16
North America,North America,North America,2020-05-13,16.610405545454544,-74.5783499090909,1459184,282750,89329,541348571,North America,FALSE,282750,1087105,1087105,25492.600000000002,2.34,14422.400000000001,14422.400000000001,9187.400000000001,9187.400000000001,1882.8000000000002,2695.461072898999,2008.1423656330294,2008.1423656330294,522.3067264732837,522.3067264732837,165.011980792686,47.090915845421165,26.641614613221176,16.971320314060645,26.641614613221176,16.971320314060645,3.477980918139341,0.1937726839110078,0.1937726839110078,0.06121846182523931,3.1652654792956376,3.1652654792956376,2.439,540712142,465394,513520492,26726256,113,80,73,68,64,62,58,56,51,48,34,17
North America,North America,North America,2020-05-14,16.610405545454544,-74.5783499090909,1489649,287489,91397,541348571,North America,FALSE,287489,1110763,1110763,26958.600000000002,2.43,15592.399999999998,15592.399999999998,9436.600000000002,9436.600000000002,1929.6000000000001,2751.7371981757756,2051.844337462932,2051.844337462932,531.0607904052267,531.0607904052267,168.83207030761702,49.79896769691483,28.802883826214067,17.4316521840417,28.802883826214067,17.4316521840417,3.564431686659057,0.19299110058812513,0.19299110058812513,0.06135472181701864,3.1454971169732047,3.1454971169732047,2.439,540921108,616797,513467416,26836895,114,81,74,69,65,63,59,57,52,49,35,18
North America,North America,North America,2020-05-15,16.610405545454544,-74.5783499090909,1518133,294098,93332,541348571,North America,FALSE,294098,1130703,1130703,26475.4,2.34,14242.8,14242.8,10522.400000000001,10522.400000000001,1710.2,2804.353943699613,2088.6782760159904,2088.6782760159904,543.2691906006712,543.2691906006712,172.40647708295143,48.90638198433519,26.309850552833545,19.43738390324485,26.309850552833545,19.43738390324485,3.1591475282567987,0.19372347482071728,0.19372347482071728,0.06147814453674349,3.151095015643081,3.151095015643081,2.439,541061180,817197,513332017,26911966,115,82,75,70,66,64,60,58,53,50,36,19
North America,North America,North America,2020-05-16,16.610405545454544,-74.5783499090909,1546160,313381,94850,541348571,North America,FALSE,313381,1137929,1137929,26717.4,2.35,14825.000000000002,12288,10406,12943,1486.4,2856.1265011633327,2102.0264224545263,2102.0264224545263,578.8894933648952,578.8894933648952,175.21058534391145,49.35341373608244,27.385312891127963,19.222365325131708,22.69886845235618,23.908809763903488,2.745735519822772,0.2026834221555337,0.2026834221555337,0.06134552698297718,3.3039641539272537,3.3039641539272537,2.439,541155412,1082487,513110058,26962867,116,83,76,71,67,65,61,59,54,51,37,20
North America,North America,North America,2020-05-17,16.610405545454544,-74.5783499090909,1567810,320986,95804,541348571,North America,FALSE,320986,1151020,1151020,25490,2.21,12860.000000000002,6102.8,11170.2,17927.399999999998,1459.8000000000002,2896.119217796919,2126.20862353768,2126.20862353768,592.9377432493491,592.9377432493491,176.97285100989026,47.08611302494784,23.755488956486044,20.63402509655835,11.273327994062443,33.116186058981945,2.696598971903447,0.20473526766636263,0.20473526766636263,0.06110689433030788,3.3504446578430964,3.3504446578430964,2.439,541218569,1434793,512786681,26997095,117,84,77,72,68,66,62,60,55,52,38,21
North America,North America,North America,2020-05-18,16.610405545454544,-74.5783499090909,1592771,334780,96761,541348571,North America,FALSE,347465,1161230,1148545,25034.000000000004,2.18,12390.800000000003,989.2,11179,22580.6,1464.2000000000003,2942.2281415794114,2145.0689300886693,2121.6367078948106,618.4185530989422,641.8507752928011,178.74065839179983,46.24377220347369,22.88876458491659,20.650280796621885,1.8272884662329698,41.7117569153055,2.7047268219352154,0.21018715182534087,0.21815125966005158,0.060750101552577235,3.4598650282655203,3.590961234381621,2.439,541260843,1900506,512340231,27020106,118,85,78,73,69,67,63,61,56,53,39,22
North America,North America,North America,2020-05-19,16.610405545454544,-74.5783499090909,1617099,343340,98696,541348571,North America,FALSE,377126,1175063,1141277,25295.200000000004,2.22,15214.000000000002,-1540.7999999999997,8579.2,25334,1502.0000000000002,2987.1677633005147,2170.6217822453623,2108.2109774332444,634.2309158880184,696.6417207001365,182.31506516713424,46.726270937177745,28.10388872348201,15.847829771033053,-2.846225302033724,46.797943796548786,2.774552442662678,0.2123184789552155,0.23321144840235508,0.06103275062318386,3.4787630704385184,3.8210869741428226,2.439,541289381,2516528,511737246,27035607,119,86,79,74,70,68,64,62,57,54,40,23
North America,North America,North America,2020-05-20,16.610405545454544,-74.5783499090909,1643303,349993,100653,541348571,North America,FALSE,407001,1192657,1135649,26550.400000000005,2.34,7003.200000000001,-5417.000000000001,17879.600000000002,30299.8,1667.6000000000001,3035.5728047169814,2203.1220989405733,2097.814718347155,646.5205945837806,751.8279751771987,185.9301111926275,49.04492488260397,12.936581668745184,33.02788805181866,-10.006491732292762,55.97096145285659,3.0804551620401344,0.21298141608699064,0.24767252296137718,0.061250420646709706,3.477223729049308,4.043605257667432,2.439,541308672,3331731,510930886,27046055,120,87,80,75,71,69,65,63,58,55,41,24
North America,North America,North America,2020-05-21,16.610405545454544,-74.5783499090909,1672636,356277,102360,541348571,North America,FALSE,440051,1213999,1130225,26805.800000000003,2.37,7206.6,-5558.800000000001,17861.200000000004,30626.600000000002,1738.0000000000002,3089.7578558492214,2242.545866071936,2087.7952959443573,658.1286422200604,812.8792123476392,189.0833475572248,49.51670963217524,13.312310008850101,32.99389886077672,-10.268430171952927,56.574639041579744,3.210500762548425,0.21300330735437956,0.26308832286283446,0.06119681747851893,3.4806271981242674,4.299052364204767,2.439,541321588,4412008,509856521,27053059,121,88,81,76,72,70,66,64,59,56,42,25
North America,North America,North America,2020-05-22,16.610405545454544,-74.5783499090909,1700562,410384,104142,541348571,North America,FALSE,472485,1186036,1123935,26958.000000000004,2.4,7587.200000000001,-4675.8,17845,30108,1525.8000000000002,3141.343842209939,2190.8915318814056,2076.1761648762163,758.0771835084423,872.792550513632,192.37512682009094,49.797859353728676,14.01536903659805,32.963973594750655,-8.637318449668541,55.61666108101724,2.8185167223799694,0.2413225745371236,0.2778405021398808,0.06123975485751181,3.9406195387067657,4.536930345105721,2.439,541330345,5836176,508436398,27057771,122,89,82,77,73,71,67,65,60,57,43,26
North America,North America,North America,2020-05-23,16.610405545454544,-74.5783499090909,1726800,424086,105451,541348571,North America,FALSE,500598,1197263,1120751,26284.800000000003,2.35,5434.4000000000005,-4116,19566.2,29116.600000000002,1284.2000000000003,3189.8116897402874,2211.6304801329197,2070.2945570350457,783.3880474028258,924.7239705006998,194.79316220454197,48.55429829886815,10.038633684691117,36.143440748086874,-7.6032342569904,53.7853086897684,2.3722238660901542,0.24559068797776235,0.2898992355802641,0.06106729210099606,4.021640382737006,4.747209604460839,2.439,541336175,7715279,506559968,27060928,123,90,83,78,74,72,68,66,61,58,44,27
North America,North America,North America,2020-05-24,16.610405545454544,-74.5783499090909,1751889,432565,106325,541348571,North America,FALSE,527666,1212999,1117898,25160.399999999998,2.25,3938,-3721.0000000000005,20031.600000000002,27690.600000000002,1190.8000000000002,3236.1570600691584,2240.6986274283527,2065.0243851849013,799.0507838617717,974.7250261052227,196.4076487790341,46.47726316802265,7.274425778432507,37.00314561281072,-6.87357499277485,51.15114638401808,2.199691776779439,0.24691347454090984,0.30119830651371177,0.0606916305770514,4.068328238890195,4.962765106983306,2.439,541340191,10191237,504085912,27063042,124,91,84,79,75,73,69,67,62,59,45,28
